Sample No.,Y,Z1,Z2,Z3,U1,U2,U3,U4
1,78,1,0,0,0,1,0,0
2,74,1,0,0,0,1,0,0
3,104,0,1,0,0,0,1,0
4,87,1,0,0,0,1,0,0
5,95,0,0,1,0,0,1,0
6,109,0,1,0,0,0,1,0
7,102,0,0,1,0,0,0,1
8,72,1,0,0,0,1,0,0
9,93,0,1,0,0,0,1,0
10,115,0,0,1,0,1,0,0
11,100,0,1,0,0,0,1,0
12,109,0,0,1,0,0,1,0
13,62,1,0,0,0,1,0,0
14,69,1,0,0,0,1,0,0
15,83,1,0,0,0,1,0,0
16,90,0,1,0,1,0,0,0
17,97,1,0,0,0,0,1,0
18,81,0,1,0,0,1,0,0
19,94,1,0,0,0,0,0,1
20,94,0,1,0,0,1,0,0
21,97,1,0,0,0,1,0,0
22,98,0,1,0,0,0,0,1
23,132,0,0,1,0,0,1,0
24,90,1,0,0,0,1,0,0
25,102,0,0,1,0,0,1,0
26,122,0,0,1,0,0,1,0
27,67,1,0,0,0,1,0,0
28,87,0,1,0,0,1,0,0
29,78,1,0,0,0,1,0,0
30,62,1,0,0,0,1,0,0
31,70,0,1,0,0,1,0,0
32,69,1,0,0,0,1,0,0
33,67,1,0,0,0,1,0,0
34,88,1,0,0,0,1,0,0
35,53,1,0,0,1,0,0,0
36,79,1,0,0,0,0,0,1
37,86,0,1,0,0,1,0,0
38,99,0,0,1,0,0,1,0
39,105,0,0,1,0,0,0,1
40,106,0,0,1,0,0,1,0
41,64,1,0,0,0,1,0,0
42,82,0,0,1,0,1,0,0
43,90,0,0,1,0,1,0,0
44,104,0,0,1,0,0,0,1
45,69,1,0,0,0,1,0,0
46,91,0,1,0,0,1,0,0
47,105,0,0,1,0,0,0,1
48,86,0,1,0,0,0,1,0
49,84,1,0,0,0,0,1,0
50,106,0,0,1,0,0,1,0
51,97,0,0,1,0,1,0,0
52,34,1,0,0,0,1,0,0
53,94,0,1,0,0,0,0,1
54,111,0,0,1,0,0,0,1
55,99,0,1,0,0,0,0,1
56,67,1,0,0,0,1,0,0
57,84,1,0,0,0,1,0,0
58,77,1,0,0,0,0,1,0
59,107,0,0,1,0,0,1,0
60,76,1,0,0,0,1,0,0
